Customer ID,Recency,Frequency,Monetary
13046,91,1,319.94
13047,8,17,5557.62
13048,71,5,2248.3
13049,24,2,751.5600000000001
13050,1,19,6507.67
13051,213,2,155.8
13052,55,6,2820.38
13053,256,1,127.65
13055,64,1,1106.7
13056,186,1,209.48
13057,165,3,722.09
13059,48,9,2119.77
13063,115,1,188.4
13064,185,2,561.25
13065,8,5,1055.05
13067,44,2,393.05
13069,4,16,5247.01
13070,94,3,522.9
13071,247,1,129.22
13073,46,2,418.08
13074,146,4,1378.74
13076,92,1,135.4
13077,1,8,2335.4
13078,1,32,16904.510000000002
13079,52,1,199.08
13080,36,3,222.65
13081,6,19,30867.77
13082,59,12,3722.12
13083,60,1,91.67999999999999
13084,126,1,122.39999999999999
13085,314,6,2017.2
13086,17,1,439.33000000000004
13087,361,1,313.64
13088,52,1,236.11
13089,3,109,57912.03
13090,0,13,5192.27
13091,364,2,1976.0
13092,49,7,1662.45
13093,8,48,47111.18
13094,3,2,505.8
13096,29,1,419.70000000000005
13097,23,18,7378.8
13101,133,3,594.21
13102,0,14,5272.83
13103,72,2,465.70000000000005
13104,50,3,610.62
13105,71,1,72.0
13106,48,1,526.96
13107,48,5,3721.45
13108,7,2,748.46
13109,186,1,347.49
13110,72,5,1468.8000000000002
13111,353,1,321.88000000000005
13112,176,1,20.6
13113,1,14,6379.7699999999995
13114,365,1,234.38
13115,14,6,3199.92
13117,0,12,1658.8999999999999
13118,11,4,1217.6
13119,303,1,134.9
13123,107,2,506.75
13124,20,1,916.12
13125,158,1,158.57
13126,1,7,1898.6100000000001
13128,266,1,263.5
13129,87,2,233.25
13131,53,4,2240.47
13133,94,1,90.65
13134,37,2,681.65
13135,126,1,275.45
13136,10,8,3666.9500000000003
13137,21,8,4062.29
13138,7,2,504.85
13139,72,1,3138.04
13140,1,3,791.96
13141,20,12,5279.83
13143,219,1,405.1
13144,66,1,24.4
13145,7,4,805.0
13148,24,14,4914.6900000000005
13150,119,3,449.96999999999997
13151,260,2,1322.8700000000001
13152,52,7,2146.38
13154,34,3,1624.84
13155,3,3,778.42
13156,20,3,1586.54
13157,44,5,3946.14
13158,23,1,307.12
13161,135,1,366.13
13162,15,12,7587.2
13163,245,1,17.65
13164,204,2,372.2
13165,48,1,429.68
13166,49,1,466.98
13167,25,1,333.82
13168,177,1,556.12
13169,197,1,127.2
13172,35,1,69.6
13173,2,10,2285.7
13174,4,10,6677.81
13175,217,2,831.45
13177,65,1,229.75
13178,32,10,8333.72
13179,253,1,572.3100000000001
13180,242,1,86.10000000000001
13181,16,1,359.69
13183,29,6,3078.4
13187,259,3,130.99
13190,179,3,570.66
13191,293,1,164.69
13192,170,4,1646.6399999999999
13194,56,1,412.08
13195,49,1,172.38
13196,78,3,1271.06
13197,244,1,373.01000000000005
13198,22,2,1572.99
13199,1,30,6615.77
13201,137,4,1240.6100000000001
13202,29,7,1580.3
13203,21,6,1778.79
13204,366,1,966.6600000000001
13205,78,1,2803.2
13206,35,13,8377.32
13207,86,2,285.6
13208,84,3,764.6
13209,149,5,2617.9
13211,16,7,1531.9
13213,18,6,2330.94
13214,52,7,3264.23
13215,37,1,81.6
13217,290,1,132.5
13219,253,1,76.23
13220,210,1,516.8
13222,212,1,88.5
13223,58,4,805.9200000000001
13225,56,9,9796.23
13226,28,1,204.25
13230,0,17,3553.81
13233,55,2,571.34
13234,307,2,356.95
13237,22,1,643.0
13238,65,2,305.9
13239,72,4,1265.1299999999999
13240,0,5,1074.87
13241,46,1,115.58
13242,86,4,429.0
13243,84,4,677.97
13245,67,1,558.72
13246,28,5,1400.1299999999999
13249,36,6,897.52
13250,95,2,256.04
13251,37,1,252.68
13252,29,2,399.3
13253,65,2,1920.71
13254,11,1,51.410000000000004
13255,8,2,504.95
13257,71,1,149.75
13258,14,2,336.59999999999997
13259,32,8,1141.06
13262,24,2,373.16
13263,28,4,1250.6200000000001
13264,77,1,722.5600000000001
13266,48,7,2300.78
13267,1,18,5236.77
13269,4,14,3545.47
13270,1,1,590.0
13274,44,1,360.85
13275,18,2,241.66
13276,32,3,1348.33
13277,15,3,264.9
13278,34,3,893.12
13280,14,4,1507.77
13281,74,1,350.85
13282,41,1,181.05
13283,202,2,279.7
13285,235,2,655.47
13286,235,1,734.91
13287,238,3,781.59
13288,78,5,927.61
13289,358,1,307.95
13290,73,1,208.63
13291,49,10,2959.73
13292,50,3,415.57
13293,27,6,1192.94
13294,281,1,815.79
13295,11,3,900.77
13296,58,5,705.11
13297,20,3,2278.77
13299,58,2,1076.2
13300,23,2,913.62
13302,161,1,95.45
13303,35,1,61.72
13304,90,3,917.57
13305,7,7,1753.85
13306,65,1,53.65
13307,122,2,258.34
13308,231,1,284.86
13309,27,1,249.58
13310,15,2,409.17
13312,86,1,124.75
13313,114,7,1890.0
13315,324,1,310.26
13316,27,6,7213.84
13317,20,13,4212.411
13319,0,34,11236.95
13320,69,2,679.4
13324,63,8,3391.52
13326,67,1,281.76
13327,0,14,6251.71
13329,1,7,4323.97
13330,90,3,1665.25
13331,36,1,262.4
13333,46,3,1015.74
13334,171,2,2726.93
13337,181,1,1575.26
13338,176,3,1958.6
13340,52,5,11364.08
13346,97,6,299.4
13357,129,4,3228.41
13359,38,1,603.75
13360,66,4,1553.65
13361,107,2,1450.5
13362,13,3,2303.33
13363,44,1,731.36
13367,66,1,510.20000000000005
13368,49,2,498.1
13369,0,1,308.28000000000003
13370,6,1,754.87
13371,140,2,2297.66
13373,50,3,4274.94
13374,49,2,422.8
13375,79,1,1013.58
13377,31,2,1552.88
13380,67,1,62.4
13381,14,6,4585.06
13382,63,4,1164.59
13383,178,1,305.28000000000003
13384,25,4,2528.9
13386,49,2,835.46
13387,52,1,189.44
13388,238,1,508.55
13392,312,1,91.14
13393,218,4,1131.45
13394,14,11,4101.68
13395,35,2,872.51
13397,72,5,1647.74
13398,83,1,213.0
13399,99,3,275.4
13400,217,1,310.83
13402,7,3,913.9000000000001
13403,22,2,154.5
13405,116,3,641.36
13406,62,2,568.92
13407,213,3,2244.7
13408,6,46,23616.422
13410,28,4,1198.9
13412,255,1,487.34999999999997
13413,274,6,429.44
13414,98,3,1103.64
13415,107,4,800.67
13416,371,1,228.3
13417,182,4,1028.66
13418,7,15,6106.17
13421,41,6,2252.04
13423,63,1,217.03
13424,84,1,572.77
13425,143,2,1779.42
13426,17,12,4526.06
13427,112,3,423.93
13428,149,2,281.51
13431,41,6,2047.14
13432,206,2,439.1
13433,136,4,658.3199999999999
13434,20,3,1132.6200000000001
13435,11,2,665.34
13438,182,1,46.5
13439,23,2,702.9
13440,58,7,1295.25
13441,66,1,424.26
13442,302,3,419.87
13443,83,6,1280.16
13444,9,2,631.6800000000001
13445,261,1,241.89999999999998
13446,65,11,3881.89
13448,8,9,5701.5
13450,9,7,2076.32
13451,16,6,4214.77
13452,107,1,139.8
13453,37,1,424.71
13454,276,1,219.87
13455,1,5,1847.59
13457,323,2,148.22
13458,14,2,2312.7
13459,259,2,1160.4099999999999
13461,42,3,2715.0
13462,45,4,1002.35
13464,29,5,2422.96
13465,81,2,931.12
13466,43,4,705.45
13468,3,38,7685.54
13469,288,1,82.4
13472,98,2,592.24
13473,209,6,2235.12
13474,78,2,434.2
13476,41,3,823.0
13477,90,5,1379.59
13478,104,5,2215.78
13479,87,2,550.42
13480,51,2,627.82
13481,9,6,2026.28
13482,262,1,151.45
13484,18,2,476.92
13485,11,10,2564.98
13487,140,2,271.47
13488,2,11,6619.57
13490,289,1,154.25
13491,7,18,3350.7400000000002
13495,3,6,3329.39
13497,3,5,972.28
13498,365,1,327.38
13500,36,1,299.53
13501,121,2,1544.79
13502,50,2,488.5
13503,114,5,1688.54
13506,4,4,1180.68
13508,277,1,176.07999999999998
13509,142,1,135.0
13510,10,7,2766.73
13511,311,1,282.76
13512,22,3,462.18
13513,76,2,619.49
13514,63,3,663.7
13515,84,2,374.7
13516,52,1,295.85
13519,77,1,220.46
13520,6,6,3285.05
13523,1,2,1136.64
13526,373,2,1182.0
13527,53,5,2396.23
13530,269,1,402.97999999999996
13531,1,5,1254.72
13534,14,10,1850.82
13535,37,1,89.5
13537,60,2,717.85
13538,31,5,1831.88
13539,55,4,938.02
13540,102,3,632.39
13541,62,2,785.25
13542,11,17,4006.17
13543,269,2,1439.6100000000001
13544,46,4,537.59
13545,25,2,374.64
13546,17,2,465.15
13547,43,1,175.53
13548,106,1,226.57999999999998
13549,22,1,87.6
13550,18,1,349.51
13551,301,1,152.39999999999998
13552,63,10,3238.85
13553,309,1,517.8
13554,15,7,1638.28
13555,13,9,4849.91
13556,64,2,200.82
13557,50,11,2448.2
13559,147,2,990.0
13561,32,10,1678.86
13562,36,5,3038.85
13564,3,35,15500.53
13565,46,1,174.57999999999998
13566,69,3,833.41
13567,63,4,1083.69
13569,2,3,520.03
13571,17,14,2454.2200000000003
13573,14,4,622.07
13574,46,1,421.25
13576,8,11,4834.400000000001
13577,17,7,1801.68
13578,44,1,147.66
13579,4,4,1072.0
13580,41,1,107.75
13581,49,1,162.53
13582,24,2,241.68
13583,314,1,664.001
13584,133,2,250.05
13585,165,3,684.54
13586,176,1,131.53
13587,84,3,961.1
13589,84,4,741.09
13590,10,12,4367.67
13591,70,4,976.8100000000001
13593,22,9,3486.61
13594,120,1,136.35000000000002
13595,151,3,818.22
13597,35,2,396.71
13598,130,4,609.42
13599,1,14,5013.96
13600,269,1,298.9
13601,27,2,491.82
13602,16,3,596.28
13604,293,1,717.62
13605,22,2,522.67
13607,37,1,400.3
13608,175,1,236.2
13609,228,1,167.35
13610,22,7,1044.0
13611,9,7,2147.73
13612,267,1,818.29
13613,87,5,1039.8500000000001
13614,28,2,748.73
13615,34,7,5854.84
13616,203,2,288.1
13617,43,5,734.57
13619,179,2,231.69
13620,163,1,112.34
13622,331,1,658.95
13623,15,5,1818.71
13624,23,1,462.08
13625,231,1,301.26
13626,14,1,449.81
13627,123,2,607.43
13628,311,1,310.14
13629,48,8,5578.5
13632,29,3,1526.88
13634,9,11,3498.31
13635,77,3,1928.1299999999999
13639,71,1,312.93
13640,246,1,405.0
13641,275,5,1016.47
13642,67,3,159.92
13643,17,7,1637.33
13646,34,2,326.25
13647,129,4,1393.56
13648,35,8,1764.02
13649,1,5,1332.28
13650,9,4,1451.66
13651,16,1,132.65
13652,3,3,1475.77
13653,122,1,152.2
13654,15,5,3600.67
13655,9,4,1347.54
13656,134,2,699.2
13658,18,4,3386.33
13659,51,10,3321.68
13660,35,1,314.59
13661,238,1,325.24
13662,20,8,1352.35
13663,15,4,1858.04
13665,21,3,1711.6599999999999
13666,55,2,43.25
13668,18,14,6726.35
13669,42,1,195.0
13671,29,1,194.95
13672,365,1,233.53000000000003
13674,67,1,240.68
13676,174,2,243.9
13677,39,2,556.1899999999999
13679,128,3,281.26
13680,106,8,7713.25
13683,92,1,258.6
13684,25,3,529.75
13686,15,2,337.04
13687,73,1,11880.84
13688,270,1,375.5
13689,79,1,349.5
13691,31,1,212.78
13692,43,2,1626.08
13693,9,9,2011.82
13694,8,94,131443.19
13695,212,1,266.6
13696,56,3,2020.4
13698,231,2,465.53000000000003
13699,185,1,455.57
13700,52,3,348.34
13701,81,1,161.0
13702,80,1,135.18
13703,50,1,326.06
13705,8,5,1323.47
13706,261,1,300.38
13707,64,3,2559.45
13709,81,5,1263.7
13710,58,2,329.04
13711,41,7,1540.2
13712,245,1,537.58
13713,43,3,743.26
13714,100,1,161.35
13715,7,13,7403.95
13717,92,2,318.29
13719,28,6,1773.57
13721,30,1,217.39999999999998
13722,55,7,3260.0
13723,27,5,1009.35
13724,272,1,213.01
13727,246,6,746.57
13728,22,10,1839.03
13729,70,3,724.73
13733,45,2,487.03000000000003
13734,143,4,6701.640000000001
13735,11,9,6927.9800000000005
13736,60,5,2034.31
13738,31,1,440.93
13739,162,1,75.3
13740,50,4,1247.02
13745,181,1,477.32
13746,48,1,176.69
13747,8,2,169.79999999999998
13748,8,5,1320.1
13750,15,6,1954.92
13752,162,1,404.45000000000005
13753,233,3,1353.31
13754,72,1,164.45000000000002
13756,2,10,4017.9800000000005
13757,309,1,195.55
13758,1,10,6226.43
13760,39,3,1076.85
13761,137,4,881.52
13762,228,4,2165.76
13763,52,2,3502.48
13764,204,3,1431.5
13765,288,1,352.821
13766,130,1,190.35
13767,4,39,18320.170000000002
13768,361,2,875.97
13769,2,11,3003.9100000000003
13770,57,4,785.37
13771,168,5,3094.37
13772,35,5,1982.09
13773,31,2,301.54
13775,225,1,1049.66
13776,63,2,623.98
13777,1,37,30501.260000000002
13778,126,3,945.79
13779,150,1,161.13
13780,42,1,375.81
13781,227,2,650.99
13782,88,7,881.72
13783,122,4,1542.09
13784,69,3,447.44
13785,63,4,542.49
13786,2,6,3128.54
13787,93,4,913.46
13788,140,1,3.75
13789,23,1,239.45999999999998
13792,57,1,188.4
13793,281,1,96.0
13794,181,1,126.03
13795,23,4,836.3
13796,134,1,289.7
13797,71,3,1179.45
13798,7,54,38683.02
13799,79,7,2114.71
13800,65,2,1121.24
13802,9,16,21659.69
13803,66,2,1061.84
13804,70,2,572.73
13807,2,3,422.2
13809,29,2,524.65
13813,162,4,1398.61
13814,162,1,678.2
13815,41,4,3448.38
13818,64,1,61.28
13819,304,3,1502.0
13820,53,3,660.65
13821,28,4,1025.09
13823,15,5,2445.79
13824,14,7,1615.82
13825,256,2,255.59
13829,56,1,102.0
13830,216,1,156.85000000000002
13831,4,13,4820.59
13832,57,1,561.49
13833,39,1,316.56
13834,211,2,324.19
13835,154,3,260.7
13836,34,2,620.37
13838,4,7,1274.3600000000001
13839,121,1,139.95000000000002
13840,51,1,651.4
13842,1,10,2244.29
13843,16,1,319.75
13846,34,1,442.73
13847,354,1,310.72
13848,1,6,2080.0
13849,32,3,1931.35
13851,14,5,1955.0
13852,245,1,187.35000000000002
13854,0,15,4144.44
13855,135,4,1310.3400000000001
13856,98,8,753.53
13857,28,6,1001.01
13859,164,1,314.7
13861,64,2,273.26
13862,24,1,346.73
13863,100,3,933.77
13864,21,1,662.4000000000001
13869,16,6,5006.62
13870,22,7,2941.14
13871,63,4,1482.6
13872,162,3,919.57
13873,18,5,649.32
13874,139,6,1508.7
13875,22,9,3027.58
13877,105,2,332.44
13878,182,3,1191.53
13879,280,1,395.5
13880,2,5,1171.89
13881,10,23,28019.58
13883,38,10,3885.54
13884,11,5,1100.88
13888,39,5,1563.42
13889,17,5,1574.3300000000002
13890,9,4,1043.57
13891,13,3,863.5600000000001
13892,112,2,634.68
13895,150,2,1415.45
13896,260,1,388.55
13897,73,2,849.56
13898,46,1,530.47
13900,24,3,869.64
13901,9,10,2809.14
13902,267,5,34095.26
13903,35,1,165.45000000000002
13905,367,1,312.65
13906,44,1,42.0
13907,326,1,136.8
13909,58,2,286.6
13911,14,11,1654.08
13912,58,1,124.95
13913,141,1,42.22
13915,29,1,70.80000000000001
13916,98,4,1275.81
13919,59,2,975.87
13920,66,4,1774.68
13921,37,4,730.7
13922,72,2,692.95
13927,72,1,359.27
13929,51,9,2651.45
13931,27,9,4019.85
13935,231,3,6116.92
13936,17,2,563.08
13937,37,1,721.28
13939,66,4,992.41
13941,7,11,6009.34
13942,169,1,320.0
13943,212,1,246.54
13944,288,1,200.43
13945,29,2,854.15
13946,11,3,1314.66
13948,46,3,446.76
13952,15,12,9572.45
13953,44,5,3125.0
13955,10,1,222.21
13957,52,3,458.25
13958,14,8,4709.2300000000005
13959,34,3,477.98
13961,27,1,538.4
13962,70,1,193.25
13963,2,14,2347.33
13964,22,2,438.9
13965,111,3,996.61
13966,70,1,390.86
13967,31,1,85.6
13968,58,1,123.66
13969,0,18,4311.93
13970,21,2,846.55
13971,58,6,1909.31
13974,217,1,264.13
13975,28,6,2832.56
13976,141,3,834.38
13977,46,1,519.8100000000001
13979,28,6,2546.36
13980,74,4,599.78
13981,50,1,331.14
13982,0,6,2573.7799999999997
13983,1,10,4505.02
13984,1,8,1128.09
13985,9,7,2960.73
13987,14,2,682.54
13988,18,2,609.84
13989,99,3,759.98
13992,15,2,142.7
13993,14,10,3309.35
13995,14,9,2508.32
13996,21,2,895.76
13997,154,3,382.31
13998,81,3,566.7
13999,9,17,5600.45
14000,49,4,1410.68
14001,8,7,2487.01
14003,367,1,209.41
14004,28,4,1675.81
14006,163,4,1234.48
14007,147,1,79.48
14008,67,1,509.04
14009,97,1,404.3
14010,200,2,445.15
14011,115,2,457.82
14013,15,2,611.5500000000001
14014,11,2,1443.03
14016,31,7,7062.2
14017,206,1,229.75
14018,280,1,367.15000000000003
14020,111,2,606.21
14021,9,4,1084.68
14022,121,1,352.15000000000003
14024,25,1,318.04
14025,99,8,4057.9
