Customer ID,Recency,Frequency,Monetary,Cluster,Customer_Segment
12563,43,1,249.24,0,Regular Customers
12567,2,7,4308.58,0,Regular Customers
12568,279,1,70.0,1,Lost Customers
12570,317,1,77.52,1,Lost Customers
12573,16,4,556.87,0,Regular Customers
12575,92,2,622.8199999999999,0,Regular Customers
12576,27,3,826.89,0,Regular Customers
12577,16,5,995.95,0,Regular Customers
12578,20,2,1847.94,0,Regular Customers
12580,211,1,637.2,1,Lost Customers
12582,57,2,1469.04,0,Regular Customers
12583,8,13,7166.06,0,Regular Customers
12586,9,3,1865.73,0,Regular Customers
12588,34,3,743.88,0,Regular Customers
12589,56,6,4048.98,0,Regular Customers
12591,25,2,899.3,0,Regular Customers
12592,154,3,2145.06,1,Lost Customers
12594,13,5,1751.89,0,Regular Customers
12595,139,1,299.02,1,Lost Customers
12598,98,3,1511.01,0,Regular Customers
12599,16,6,1264.14,0,Regular Customers
12600,6,12,2444.88,0,Regular Customers
12601,39,1,104.2,0,Regular Customers
12605,11,4,1232.95,0,Regular Customers
12606,317,1,21.0,1,Lost Customers
12608,39,1,415.79,0,Regular Customers
12609,9,6,2309.01,0,Regular Customers
12613,23,5,3490.69,0,Regular Customers
12615,48,4,3449.79,0,Regular Customers
12616,23,1,417.8,0,Regular Customers
12619,195,1,140.14,1,Lost Customers
12621,0,16,11086.14,0,Regular Customers
12623,51,6,3442.74,0,Regular Customers
12625,144,2,2481.06,1,Lost Customers
12629,20,2,1558.22,0,Regular Customers
12631,91,5,2841.07,0,Regular Customers
12632,155,2,804.88,1,Lost Customers
12633,17,3,3514.18,0,Regular Customers
12634,170,2,490.0,1,Lost Customers
12635,27,2,1241.23,0,Regular Customers
12636,373,1,141.0,1,Lost Customers
12637,13,4,2318.41,0,Regular Customers
12638,274,1,249.8,1,Lost Customers
12639,69,2,826.27,0,Regular Customers
12643,20,6,5005.78,0,Regular Customers
12644,65,3,1440.58,0,Regular Customers
12645,44,4,1764.12,0,Regular Customers
12647,2,27,14201.53,3,Loyal Customers
12648,72,3,793.95,0,Regular Customers
12649,17,5,1671.14,0,Regular Customers
12651,13,3,263.75,0,Regular Customers
12652,69,1,97.05,0,Regular Customers
12653,161,1,1950.98,1,Lost Customers
12655,58,1,261.35,0,Regular Customers
12656,60,3,2356.66,0,Regular Customers
12661,71,1,162.0,0,Regular Customers
12662,8,10,3138.24,0,Regular Customers
12663,259,2,239.4,1,Lost Customers
12664,149,2,1188.16,1,Lost Customers
12665,52,2,250.6,0,Regular Customers
12666,29,1,1248.42,0,Regular Customers
12668,13,6,7637.53,0,Regular Customers
12670,20,2,764.24,0,Regular Customers
12671,241,1,2622.481,1,Lost Customers
12672,230,1,211.15,1,Lost Customers
12673,36,1,619.5,0,Regular Customers
12675,188,2,958.5,1,Lost Customers
12676,43,5,1511.7,0,Regular Customers
12677,190,2,395.1,1,Lost Customers
12678,10,9,16652.72,0,Regular Customers
12681,2,24,17080.74,3,Loyal Customers
12682,0,23,11745.69,0,Regular Customers
12683,0,8,4220.21,0,Regular Customers
12686,6,1,89.14,0,Regular Customers
12687,115,2,2138.91,0,Regular Customers
12691,55,1,134.6,0,Regular Customers
12692,272,1,110.95,1,Lost Customers
12693,31,3,847.11,0,Regular Customers
12694,56,1,973.68,0,Regular Customers
12695,163,3,825.02,1,Lost Customers
12696,69,2,851.91,0,Regular Customers
12698,225,1,339.75,1,Lost Customers
12699,52,1,638.11,0,Regular Customers
12701,164,4,1648.7,1,Lost Customers
12703,268,3,722.98,1,Lost Customers
12705,18,5,4893.81,0,Regular Customers
12708,3,9,2601.19,0,Regular Customers
12709,1,20,21356.82,0,Regular Customers
12711,246,2,1339.05,1,Lost Customers
12712,0,10,2797.53,0,Regular Customers
12714,23,7,9384.85,0,Regular Customers
12717,225,1,277.93,1,Lost Customers
12720,4,6,2478.94,0,Regular Customers
12721,20,2,1356.95,0,Regular Customers
12724,18,3,1286.11,0,Regular Customers
12725,6,4,2266.76,0,Regular Customers
12726,22,4,1405.5,0,Regular Customers
12727,77,3,1698.8300000000002,0,Regular Customers
12728,18,1,233.84,0,Regular Customers
12730,156,1,829.25,1,Lost Customers
12731,77,5,6879.8,0,Regular Customers
12733,24,3,2040.92,0,Regular Customers
12734,9,2,529.25,0,Regular Customers
12737,133,2,3710.5,0,Regular Customers
12738,7,1,155.35,0,Regular Customers
12739,20,2,1713.69,0,Regular Customers
12741,164,2,406.07,1,Lost Customers
12742,260,1,1201.52,1,Lost Customers
12744,94,4,4037.77,0,Regular Customers
12745,121,3,925.41,0,Regular Customers
12746,175,1,254.55,1,Lost Customers
12747,4,16,5080.53,0,Regular Customers
12748,0,144,22879.66,3,Loyal Customers
12749,34,4,2806.48,0,Regular Customers
12751,79,1,268.27,0,Regular Customers
12755,0,10,5218.709999999999,0,Regular Customers
12758,94,5,7111.650000000001,0,Regular Customers
12759,21,5,3489.3,0,Regular Customers
12760,90,1,347.8,0,Regular Customers
12761,92,2,782.95,0,Regular Customers
12763,4,1,320.08,0,Regular Customers
12765,107,6,1404.58,0,Regular Customers
12766,1,3,3078.65,0,Regular Customers
12767,10,1,949.82,0,Regular Customers
12768,85,1,168.69000000000003,0,Regular Customers
12770,91,1,1895.0,0,Regular Customers
12771,120,1,282.3,0,Regular Customers
12773,199,1,124.25,1,Lost Customers
12774,170,1,98.7,1,Lost Customers
12775,23,2,300.08,0,Regular Customers
12776,302,1,55.5,1,Lost Customers
12777,92,1,519.45,0,Regular Customers
12778,31,3,953.45,0,Regular Customers
12779,6,7,2740.91,0,Regular Customers
12780,233,1,337.4,1,Lost Customers
12782,9,6,2287.32,0,Regular Customers
12784,164,1,1230.33,1,Lost Customers
12785,170,2,788.45,1,Lost Customers
12786,244,1,728.5,1,Lost Customers
12787,48,1,398.52,0,Regular Customers
12788,98,4,444.9,0,Regular Customers
12789,147,2,181.5,1,Lost Customers
12790,45,1,266.93,0,Regular Customers
12791,8,6,863.51,0,Regular Customers
12792,169,1,426.47,1,Lost Customers
12793,6,2,471.85,0,Regular Customers
12796,263,1,381.0,1,Lost Customers
12797,0,2,552.08,0,Regular Customers
12798,56,1,1533.89,0,Regular Customers
12799,164,1,219.35,1,Lost Customers
12800,105,3,584.25,0,Regular Customers
12801,135,1,1071.82,0,Regular Customers
12802,77,6,1988.84,0,Regular Customers
12803,28,1,1092.81,0,Regular Customers
12804,100,2,327.02,0,Regular Customers
12805,16,4,1434.95,0,Regular Customers
12806,70,4,2878.96,0,Regular Customers
12807,18,1,330.35,0,Regular Customers
12808,3,3,422.45,0,Regular Customers
12809,200,2,1266.63,1,Lost Customers
12810,169,2,534.99,1,Lost Customers
12811,13,2,519.05,0,Regular Customers
12813,136,3,1687.8,0,Regular Customers
12817,34,2,524.94,0,Regular Customers
12819,93,1,540.52,0,Regular Customers
12820,32,7,1747.18,0,Regular Customers
12821,246,1,128.07999999999998,1,Lost Customers
12823,29,13,4742.0,0,Regular Customers
12825,156,2,518.63,1,Lost Customers
12826,0,6,1481.03,0,Regular Customers
12829,185,1,92.3,1,Lost Customers
12831,98,2,236.06,0,Regular Customers
12835,62,41,6043.31,3,Loyal Customers
12836,24,11,3972.76,0,Regular Customers
12837,204,1,554.31,1,Lost Customers
12838,8,9,2715.35,0,Regular Customers
12839,2,13,4480.31,0,Regular Customers
12840,72,3,1315.2,0,Regular Customers
12841,4,17,3518.33,0,Regular Customers
12842,39,2,799.0,0,Regular Customers
12843,17,22,4886.15,0,Regular Customers
12844,77,2,322.64,0,Regular Customers
12846,317,1,15.58,1,Lost Customers
12847,22,1,765.36,0,Regular Customers
12848,310,1,208.0,1,Lost Customers
12849,16,4,2039.67,0,Regular Customers
12850,80,1,330.0,0,Regular Customers
12851,112,1,148.95,0,Regular Customers
12853,62,5,1950.4,0,Regular Customers
12854,196,4,1669.52,1,Lost Customers
12855,7,4,612.84,0,Regular Customers
12857,71,4,2581.6,0,Regular Customers
12858,18,1,177.92,0,Regular Customers
12859,93,1,575.1,0,Regular Customers
12860,328,1,55.47,1,Lost Customers
12861,254,1,68.25,1,Lost Customers
12862,60,2,1008.32,0,Regular Customers
12863,14,5,2271.35,0,Regular Customers
12864,143,1,152.45,1,Lost Customers
12865,13,2,1755.24,0,Regular Customers
12866,109,2,668.23,0,Regular Customers
12867,32,6,3876.47,0,Regular Customers
12868,8,3,640.0,0,Regular Customers
12869,316,1,337.67,1,Lost Customers
12870,10,3,1676.95,0,Regular Customers
12871,74,1,363.38,0,Regular Customers
12872,0,11,3085.52,0,Regular Customers
12873,32,2,1653.3,0,Regular Customers
12874,20,2,948.42,0,Regular Customers
12875,106,3,1013.76,0,Regular Customers
12876,29,2,1863.77,0,Regular Customers
12877,36,8,1419.4,0,Regular Customers
12880,16,2,640.13,0,Regular Customers
12887,18,1,222.4,0,Regular Customers
12889,16,4,385.46,0,Regular Customers
12890,22,1,336.8,0,Regular Customers
12891,93,8,509.5,0,Regular Customers
12892,31,1,263.38,0,Regular Customers
12894,210,1,157.35,1,Lost Customers
12897,16,2,297.75,0,Regular Customers
12898,98,2,310.96000000000004,0,Regular Customers
12899,48,1,366.4,0,Regular Customers
12900,57,1,340.33,0,Regular Customers
12903,63,1,833.53,0,Regular Customers
12905,211,2,1018.42,1,Lost Customers
12907,30,2,508.91,0,Regular Customers
12908,15,3,1026.0,0,Regular Customers
12909,59,3,924.52,0,Regular Customers
12910,14,5,2721.48,0,Regular Customers
12911,186,1,1680.47,1,Lost Customers
12913,3,9,4217.2300000000005,0,Regular Customers
12914,35,1,223.98,0,Regular Customers
12915,7,3,811.1,0,Regular Customers
12916,77,3,1647.87,0,Regular Customers
12917,35,5,3765.2,0,Regular Customers
12918,261,1,10953.5,1,Lost Customers
12920,206,3,323.86,1,Lost Customers
12921,1,39,19333.95,3,Loyal Customers
12923,25,2,612.9,0,Regular Customers
12924,28,8,1535.7,0,Regular Customers
12925,227,1,35.28,1,Lost Customers
12926,46,4,1548.46,0,Regular Customers
12927,29,1,197.31,0,Regular Customers
12928,13,7,2242.19,0,Regular Customers
12931,15,42,50291.38,3,Loyal Customers
12932,174,8,1698.56,1,Lost Customers
12933,15,5,1079.5,0,Regular Customers
12934,371,1,181.65,1,Lost Customers
12935,10,8,2083.16,0,Regular Customers
12937,98,5,1593.34,0,Regular Customers
12939,14,12,13683.0,0,Regular Customers
12941,359,1,377.49,1,Lost Customers
12942,0,1,258.75,0,Regular Customers
12943,193,2,496.5,1,Lost Customers
12945,291,1,437.16,1,Lost Customers
12946,71,1,324.45,0,Regular Customers
12947,8,1,304.04,0,Regular Customers
12948,365,2,252.48,1,Lost Customers
12949,17,14,11359.48,0,Regular Customers
12951,21,9,2149.65,0,Regular Customers
12953,157,1,498.96,1,Lost Customers
12954,273,1,162.45,1,Lost Customers
12956,319,3,413.82,1,Lost Customers
12957,176,5,4689.43,1,Lost Customers
12958,35,2,539.49,0,Regular Customers
12959,119,1,150.95,0,Regular Customers
12960,48,4,1322.07,0,Regular Customers
12961,14,1,211.99,0,Regular Customers
12963,0,5,1744.96,0,Regular Customers
12964,72,1,132.24,0,Regular Customers
12967,6,2,2646.02,0,Regular Customers
12969,237,1,122.45,1,Lost Customers
12970,15,6,1072.73,0,Regular Customers
12971,1,33,4782.88,3,Loyal Customers
12972,48,4,1161.2,0,Regular Customers
12973,48,1,385.55,0,Regular Customers
12974,200,1,264.15,1,Lost Customers
12975,71,6,2100.09,0,Regular Customers
12976,13,7,2417.78,0,Regular Customers
12977,136,3,478.39,0,Regular Customers
12978,20,5,2502.82,0,Regular Customers
12979,364,1,517.7,1,Lost Customers
12980,21,12,8870.880000000001,0,Regular Customers
12982,29,7,2354.27,0,Regular Customers
12983,233,1,490.08,1,Lost Customers
12986,63,10,2729.84,0,Regular Customers
12987,55,3,753.51,0,Regular Customers
12989,59,18,6627.64,0,Regular Customers
12990,52,4,546.0,0,Regular Customers
12991,24,1,261.06,0,Regular Customers
12992,360,1,93.35,1,Lost Customers
12993,80,4,844.87,0,Regular Customers
12996,10,1,355.5,0,Regular Customers
12997,29,4,884.02,0,Regular Customers
12998,127,3,920.08,0,Regular Customers
13000,360,1,497.65,1,Lost Customers
13001,39,20,14353.28,0,Regular Customers
13002,51,2,293.18,0,Regular Customers
13004,21,18,5994.94,0,Regular Customers
13005,66,2,485.98,0,Regular Customers
13007,214,1,175.25,1,Lost Customers
13008,32,2,382.66,0,Regular Customers
13009,307,1,234.0,1,Lost Customers
13010,9,2,330.12,0,Regular Customers
13011,7,1,50.55,0,Regular Customers
13012,64,3,1310.99,0,Regular Customers
13013,6,18,7814.83,0,Regular Customers
13014,67,1,1914.8,0,Regular Customers
13015,73,6,3240.14,0,Regular Customers
13018,48,7,2485.46,0,Regular Customers
13019,14,6,1229.95,0,Regular Customers
13020,197,2,618.96,1,Lost Customers
13021,9,8,2270.86,0,Regular Customers
13022,64,1,65.3,0,Regular Customers
13023,163,1,759.13,1,Lost Customers
13024,105,2,555.87,0,Regular Customers
13025,366,1,323.39,1,Lost Customers
13026,123,4,757.72,0,Regular Customers
13027,20,13,10423.2,0,Regular Customers
13029,9,2,679.8,0,Regular Customers
13030,3,1,427.74,0,Regular Customers
13031,42,5,3419.27,0,Regular Customers
13032,27,7,1833.37,0,Regular Customers
13033,64,1,30.0,0,Regular Customers
13034,4,2,279.91,0,Regular Customers
13035,66,1,442.32,0,Regular Customers
13036,319,1,307.1,1,Lost Customers
13037,34,9,3033.88,0,Regular Customers
13039,219,4,1010.73,1,Lost Customers
13041,85,4,799.13,0,Regular Customers
13042,233,3,1556.54,1,Lost Customers
13044,127,10,4293.43,0,Regular Customers
13045,36,2,503.64,0,Regular Customers
13046,91,1,319.94,0,Regular Customers
13047,8,17,5557.62,0,Regular Customers
13048,71,5,2248.3,0,Regular Customers
13049,24,2,751.5600000000001,0,Regular Customers
13050,1,19,6507.67,0,Regular Customers
13051,213,2,155.8,1,Lost Customers
13052,55,6,2820.38,0,Regular Customers
13053,256,1,127.65,1,Lost Customers
13055,64,1,1106.7,0,Regular Customers
13056,186,1,209.48,1,Lost Customers
13057,165,3,722.09,1,Lost Customers
13059,48,9,2119.77,0,Regular Customers
13063,115,1,188.4,0,Regular Customers
13064,185,2,561.25,1,Lost Customers
13065,8,5,1055.05,0,Regular Customers
13067,44,2,393.05,0,Regular Customers
13069,4,16,5247.01,0,Regular Customers
13070,94,3,522.9,0,Regular Customers
13071,247,1,129.22,1,Lost Customers
13073,46,2,418.08,0,Regular Customers
13074,146,4,1378.74,1,Lost Customers
13076,92,1,135.4,0,Regular Customers
13077,1,8,2335.4,0,Regular Customers
13078,1,32,16904.510000000002,3,Loyal Customers
13079,52,1,199.08,0,Regular Customers
13080,36,3,222.65,0,Regular Customers
13081,6,19,30867.77,3,Loyal Customers
13082,59,12,3722.12,0,Regular Customers
13083,60,1,91.68,0,Regular Customers
13084,126,1,122.4,0,Regular Customers
13085,314,6,2017.2,1,Lost Customers
13086,17,1,439.33,0,Regular Customers
13087,361,1,313.64,1,Lost Customers
13088,52,1,236.11,0,Regular Customers
13089,3,109,57912.03,3,Loyal Customers
13090,0,13,5192.27,0,Regular Customers
13091,364,2,1976.0,1,Lost Customers
13092,49,7,1662.45,0,Regular Customers
13093,8,48,47111.18,3,Loyal Customers
13094,3,2,505.8,0,Regular Customers
13096,29,1,419.7000000000001,0,Regular Customers
13097,23,18,7378.8,0,Regular Customers
13101,133,3,594.21,0,Regular Customers
13102,0,14,5272.83,0,Regular Customers
13103,72,2,465.7000000000001,0,Regular Customers
13104,50,3,610.62,0,Regular Customers
13105,71,1,72.0,0,Regular Customers
13106,48,1,526.96,0,Regular Customers
13107,48,5,3721.45,0,Regular Customers
13108,7,2,748.46,0,Regular Customers
13109,186,1,347.49,1,Lost Customers
13110,72,5,1468.8000000000002,0,Regular Customers
13111,353,1,321.88000000000005,1,Lost Customers
13112,176,1,20.6,1,Lost Customers
13113,1,14,6379.77,0,Regular Customers
13114,365,1,234.38,1,Lost Customers
13115,14,6,3199.92,0,Regular Customers
13117,0,12,1658.9,0,Regular Customers
13118,11,4,1217.6,0,Regular Customers
13119,303,1,134.9,1,Lost Customers
13123,107,2,506.75,0,Regular Customers
13124,20,1,916.12,0,Regular Customers
13125,158,1,158.57,1,Lost Customers
13126,1,7,1898.61,0,Regular Customers
13128,266,1,263.5,1,Lost Customers
13129,87,2,233.25,0,Regular Customers
13131,53,4,2240.47,0,Regular Customers
13133,94,1,90.65,0,Regular Customers
13134,37,2,681.65,0,Regular Customers
13135,126,1,275.45,0,Regular Customers
13136,10,8,3666.95,0,Regular Customers
13137,21,8,4062.29,0,Regular Customers
13138,7,2,504.85,0,Regular Customers
13139,72,1,3138.04,0,Regular Customers
13140,1,3,791.96,0,Regular Customers
13141,20,12,5279.83,0,Regular Customers
13143,219,1,405.1,1,Lost Customers
13144,66,1,24.4,0,Regular Customers
13145,7,4,805.0,0,Regular Customers
13148,24,14,4914.6900000000005,0,Regular Customers
13150,119,3,449.97,0,Regular Customers
13151,260,2,1322.87,1,Lost Customers
13152,52,7,2146.38,0,Regular Customers
13154,34,3,1624.84,0,Regular Customers
13155,3,3,778.42,0,Regular Customers
13156,20,3,1586.54,0,Regular Customers
13157,44,5,3946.14,0,Regular Customers
13158,23,1,307.12,0,Regular Customers
13161,135,1,366.13,0,Regular Customers
13162,15,12,7587.2,0,Regular Customers
13163,245,1,17.65,1,Lost Customers
13164,204,2,372.2,1,Lost Customers
13165,48,1,429.68,0,Regular Customers
13166,49,1,466.98,0,Regular Customers
13167,25,1,333.82,0,Regular Customers
13168,177,1,556.12,1,Lost Customers
13169,197,1,127.2,1,Lost Customers
13172,35,1,69.6,0,Regular Customers
13173,2,10,2285.7,0,Regular Customers
13174,4,10,6677.81,0,Regular Customers
13175,217,2,831.45,1,Lost Customers
13177,65,1,229.75,0,Regular Customers
13178,32,10,8333.72,0,Regular Customers
13179,253,1,572.3100000000001,1,Lost Customers
13180,242,1,86.10000000000001,1,Lost Customers
13181,16,1,359.69,0,Regular Customers
13183,29,6,3078.4,0,Regular Customers
13187,259,3,130.99,1,Lost Customers
13190,179,3,570.66,1,Lost Customers
13191,293,1,164.69,1,Lost Customers
13192,170,4,1646.64,1,Lost Customers
13194,56,1,412.08,0,Regular Customers
13195,49,1,172.38,0,Regular Customers
13196,78,3,1271.06,0,Regular Customers
13197,244,1,373.0100000000001,1,Lost Customers
13198,22,2,1572.99,0,Regular Customers
13199,1,30,6615.77,3,Loyal Customers
13201,137,4,1240.61,0,Regular Customers
13202,29,7,1580.3,0,Regular Customers
13203,21,6,1778.79,0,Regular Customers
13204,366,1,966.66,1,Lost Customers
13205,78,1,2803.2,0,Regular Customers
13206,35,13,8377.32,0,Regular Customers
13207,86,2,285.6,0,Regular Customers
13208,84,3,764.6,0,Regular Customers
13209,149,5,2617.9,1,Lost Customers
13211,16,7,1531.9,0,Regular Customers
13213,18,6,2330.94,0,Regular Customers
13214,52,7,3264.23,0,Regular Customers
13215,37,1,81.6,0,Regular Customers
13217,290,1,132.5,1,Lost Customers
13219,253,1,76.23,1,Lost Customers
13220,210,1,516.8,1,Lost Customers
13222,212,1,88.5,1,Lost Customers
13223,58,4,805.9200000000001,0,Regular Customers
13225,56,9,9796.23,0,Regular Customers
13226,28,1,204.25,0,Regular Customers
13230,0,17,3553.81,0,Regular Customers
13233,55,2,571.34,0,Regular Customers
13234,307,2,356.95,1,Lost Customers
13237,22,1,643.0,0,Regular Customers
13238,65,2,305.9,0,Regular Customers
13239,72,4,1265.13,0,Regular Customers
13240,0,5,1074.87,0,Regular Customers
13241,46,1,115.58,0,Regular Customers
13242,86,4,429.0,0,Regular Customers
13243,84,4,677.97,0,Regular Customers
13245,67,1,558.72,0,Regular Customers
13246,28,5,1400.13,0,Regular Customers
13249,36,6,897.52,0,Regular Customers
13250,95,2,256.04,0,Regular Customers
13251,37,1,252.68,0,Regular Customers
13252,29,2,399.3,0,Regular Customers
13253,65,2,1920.71,0,Regular Customers
13254,11,1,51.41,0,Regular Customers
13255,8,2,504.95,0,Regular Customers
13257,71,1,149.75,0,Regular Customers
13258,14,2,336.6,0,Regular Customers
13259,32,8,1141.06,0,Regular Customers
13262,24,2,373.16,0,Regular Customers
13263,28,4,1250.62,0,Regular Customers
13264,77,1,722.5600000000001,0,Regular Customers
13266,48,7,2300.78,0,Regular Customers
13267,1,18,5236.77,0,Regular Customers
13269,4,14,3545.47,0,Regular Customers
13270,1,1,590.0,0,Regular Customers
13274,44,1,360.85,0,Regular Customers
13275,18,2,241.66,0,Regular Customers
13276,32,3,1348.33,0,Regular Customers
13277,15,3,264.9,0,Regular Customers
13278,34,3,893.12,0,Regular Customers
13280,14,4,1507.77,0,Regular Customers
13281,74,1,350.85,0,Regular Customers
13282,41,1,181.05,0,Regular Customers
13283,202,2,279.7,1,Lost Customers
13285,235,2,655.47,1,Lost Customers
13286,235,1,734.91,1,Lost Customers
13287,238,3,781.59,1,Lost Customers
13288,78,5,927.61,0,Regular Customers
13289,358,1,307.95,1,Lost Customers
13290,73,1,208.63,0,Regular Customers
13291,49,10,2959.73,0,Regular Customers
13292,50,3,415.57,0,Regular Customers
13293,27,6,1192.94,0,Regular Customers
13294,281,1,815.79,1,Lost Customers
13295,11,3,900.77,0,Regular Customers
13296,58,5,705.11,0,Regular Customers
13297,20,3,2278.77,0,Regular Customers
13299,58,2,1076.2,0,Regular Customers
13300,23,2,913.62,0,Regular Customers
13302,161,1,95.45,1,Lost Customers
13303,35,1,61.72,0,Regular Customers
13304,90,3,917.57,0,Regular Customers
13305,7,7,1753.85,0,Regular Customers
13306,65,1,53.65,0,Regular Customers
13307,122,2,258.34,0,Regular Customers
13308,231,1,284.86,1,Lost Customers
13309,27,1,249.58,0,Regular Customers
13310,15,2,409.17,0,Regular Customers
13312,86,1,124.75,0,Regular Customers
13313,114,7,1890.0,0,Regular Customers
13315,324,1,310.26,1,Lost Customers
13316,27,6,7213.84,0,Regular Customers
